description,industry,complexity,estimated_duration,language,project_type,priority,tech_density,business_density
Création d'une plateforme de coordination des corps de métiers sécurisé et scalable,Construction,simple,36,french,SaaS,MEDIUM,0.0,0.0
Mise en place d'un trade coordination platform for construction professionals,Construction,simple,35,english,Application Web,HIGH,0.0,0.0
Implémentation d'une application de gestion de chantier avec suivi géolocalisé,Construction,simple,26,french,Application Web,LOW,0.0,0.1
Création d'une construction site management application with gps tracking avec 3D-modeling sécurisé et scalable,Construction,moyen,69,english,Application Web,LOW,0.0,0.07142857142857142
Implémentation d'une système bim de modélisation 3d collaborative,Construction,simple,27,french,Système,LOW,0.0,0.0
Implémentation d'une document management system for construction projects,Construction,simple,35,english,Système,HIGH,0.0,0.125
Application de gestion de chantier avec suivi géolocalisé avec 3D-modeling,Construction,simple,25,french,Application Web,MEDIUM,0.0,0.1
Trade coordination platform for construction professionals,Construction,simple,28,english,Application Web,LOW,0.0,0.0
Implémentation d'une plateforme de gestion des ressources et planning avec GPS-tracking,Construction,simple,27,french,SaaS,MEDIUM,0.0,0.09090909090909091
Mise en place d'un document management system for construction projects,Construction,simple,20,english,Système,MEDIUM,0.0,0.1
Plateforme de gestion des ressources et planning,Construction,simple,50,french,SaaS,LOW,0.0,0.14285714285714285
Implémentation d'une construction site management application with gps tracking,Construction,simple,42,english,Application Web,LOW,0.0,0.1111111111111111
Création d'une système de gestion documentaire pour projets btp,Construction,simple,36,french,Système,MEDIUM,0.0,0.1111111111111111
Resource management and scheduling platform,Construction,simple,20,english,Application Web,HIGH,0.0,0.2
Implémentation d'une plateforme de gestion des ressources et planning,Construction,simple,36,french,SaaS,LOW,0.0,0.1111111111111111
Mise en place d'un construction site management application with gps tracking avec BIM,Construction,simple,46,english,Application Web,LOW,0.0,0.07692307692307693
Création d'une plateforme de gestion des ressources et planning intégrant des APIs externes,Construction,simple,50,french,API REST,HIGH,0.0,0.07692307692307693
Implémentation d'une bim 3d collaborative modeling system for construction,Construction,simple,50,english,Système,HIGH,0.0,0.0
Système BIM de modélisation 3D collaborative avec resource-optimization,Construction,moyen,60,french,Système,MEDIUM,0.0,0.0
Trade coordination platform for construction professionals avec resource-optimization,Construction,simple,30,english,Application Web,MEDIUM,0.0,0.0
Application de gestion de chantier avec suivi géolocalisé avec project-management,Construction,simple,41,french,Application Web,MEDIUM,0.0,0.1
Développement d'un bim 3d collaborative modeling system for construction intégrant des APIs externes,Construction,simple,37,english,API REST,HIGH,0.0,0.0
Mise en place d'un système bim de modélisation 3d collaborative avec BIM,Construction,simple,37,french,Système,HIGH,0.0,0.0
Développement d'un construction safety application with real-time alerts avec haute performance,Construction,simple,39,english,Application Web,HIGH,0.0,0.0
Développement d'un application de sécurité chantier avec alertes temps réel multi-plateforme,Construction,simple,28,french,SaaS,HIGH,0.0,0.0
Création d'une resource management and scheduling platform,Construction,simple,32,english,Application Web,HIGH,0.0,0.14285714285714285
Développement d'un système de gestion documentaire pour projets btp multi-plateforme,Construction,simple,42,french,SaaS,LOW,0.0,0.1
Construction safety application with real-time alerts,Construction,simple,31,english,Application Web,HIGH,0.0,0.0
Création d'une système de gestion documentaire pour projets btp,Construction,simple,28,french,Système,HIGH,0.0,0.1111111111111111
Implémentation d'une document management system for construction projects avec 3D-modeling,Construction,simple,50,english,Système,HIGH,0.0,0.1
Mise en place d'un plateforme de coordination des corps de métiers,Construction,simple,45,french,SaaS,MEDIUM,0.0,0.0
Mise en place d'un construction site management application with gps tracking avec safety-compliance,Construction,simple,50,english,Application Web,HIGH,0.0,0.07692307692307693
Développement d'un système de gestion documentaire pour projets btp avec resource-optimization,Construction,moyen,57,french,Système,MEDIUM,0.0,0.09090909090909091
Mise en place d'un trade coordination platform for construction professionals avec safety-compliance,Construction,simple,42,english,Application Web,HIGH,0.0,0.0
Système de gestion documentaire pour projets BTP,Construction,simple,49,french,Système,MEDIUM,0.0,0.14285714285714285
Développement d'un bim 3d collaborative modeling system for construction avec resource-optimization avec interface utilisateur moderne,Construction,moyen,70,english,Système,LOW,0.0,0.06666666666666667
Création d'une système bim de modélisation 3d collaborative multi-plateforme,Construction,simple,48,french,SaaS,LOW,0.0,0.0
Mise en place d'un construction safety application with real-time alerts,Construction,simple,47,english,Application Web,HIGH,0.0,0.0
Création d'une application de gestion de chantier avec suivi géolocalisé,Construction,simple,22,french,Application Web,MEDIUM,0.0,0.1
Construction safety application with real-time alerts avec project-management,Construction,moyen,61,english,Application Web,HIGH,0.0,0.0
Implémentation d'une plateforme de coordination des corps de métiers avec safety-compliance,Construction,simple,32,french,SaaS,HIGH,0.0,0.0
Mise en place d'un bim 3d collaborative modeling system for construction avec safety-compliance,Construction,moyen,69,english,Système,HIGH,0.0,0.0
Implémentation d'une application de sécurité chantier avec alertes temps réel,Construction,simple,31,french,Application Web,HIGH,0.0,0.0
Resource management and scheduling platform avec 3D-modeling,Construction,simple,32,english,Application Web,HIGH,0.0,0.14285714285714285
Mise en place d'un application de sécurité chantier avec alertes temps réel,Construction,simple,32,french,Application Web,HIGH,0.0,0.0
Construction safety application with real-time alerts,Construction,simple,29,english,Application Web,HIGH,0.0,0.0
Création d'une plateforme de gestion des ressources et planning,Construction,simple,33,french,SaaS,HIGH,0.0,0.1111111111111111
Création d'une document management system for construction projects,Construction,simple,41,english,Système,MEDIUM,0.0,0.125
Application de gestion de chantier avec suivi géolocalisé avec 3D-modeling,Construction,simple,20,french,Application Web,HIGH,0.0,0.1
Mise en place d'un document management system for construction projects avec safety-compliance,Construction,simple,22,english,Système,HIGH,0.0,0.08333333333333333
Développement d'un système de gestion documentaire pour projets btp avec authentification SSO,Construction,simple,32,french,Système,LOW,0.0,0.08333333333333333
Implémentation d'une document management system for construction projects avec haute performance,Construction,simple,24,english,Système,LOW,0.0,0.09090909090909091
Création d'une plateforme de gestion des ressources et planning,Construction,simple,36,french,SaaS,LOW,0.0,0.1111111111111111
Resource management and scheduling platform avec BIM,Construction,simple,43,english,Application Web,HIGH,0.0,0.14285714285714285
Développement d'un système bim de modélisation 3d collaborative avec authentification SSO,Construction,simple,46,french,Système,LOW,0.0,0.0
Mise en place d'un construction site management application with gps tracking,Construction,simple,45,english,Application Web,HIGH,0.0,0.09090909090909091
Développement d'un système de gestion documentaire pour projets btp avec resource-optimization intégrant des APIs externes,Construction,moyen,84,french,API REST,HIGH,0.0,0.06666666666666667
Document management system for construction projects avec resource-optimization,Construction,simple,41,english,Système,HIGH,0.0,0.125
Système de gestion documentaire pour projets BTP avec BIM,Construction,moyen,54,french,Système,LOW,0.0,0.1111111111111111
Implémentation d'une trade coordination platform for construction professionals avec 3D-modeling,Construction,simple,36,english,Application Web,MEDIUM,0.0,0.0
Développement d'un système de gestion documentaire pour projets btp,Construction,simple,34,french,Système,LOW,0.0,0.1111111111111111
Création d'une document management system for construction projects,Construction,simple,29,english,Système,LOW,0.0,0.125
Développement d'un système bim de modélisation 3d collaborative intégrant des APIs externes,Construction,simple,30,french,API REST,HIGH,0.0,0.0
Développement d'un construction safety application with real-time alerts,Construction,simple,20,english,Application Web,HIGH,0.0,0.0
Développement d'un plateforme de coordination des corps de métiers avec safety-compliance,Construction,simple,50,french,SaaS,HIGH,0.0,0.0
Développement d'un construction site management application with gps tracking,Construction,simple,32,english,Application Web,MEDIUM,0.0,0.1111111111111111
Développement d'un application de gestion de chantier avec suivi géolocalisé,Construction,simple,20,french,Application Web,HIGH,0.0,0.1
Construction site management application with GPS tracking avec resource-optimization,Construction,simple,44,english,Application Web,MEDIUM,0.0,0.1111111111111111
Mise en place d'un application de gestion de chantier avec suivi géolocalisé,Construction,simple,34,french,Application Web,HIGH,0.0,0.08333333333333333
Développement d'un resource management and scheduling platform,Construction,simple,24,english,Application Web,MEDIUM,0.0,0.14285714285714285
Création d'une système bim de modélisation 3d collaborative,Construction,simple,27,french,Système,LOW,0.0,0.0
Développement d'un bim 3d collaborative modeling system for construction avec safety-compliance intégrant des APIs externes,Construction,moyen,73,english,API REST,HIGH,0.0,0.0
Mise en place d'un plateforme de gestion des ressources et planning,Construction,simple,22,french,SaaS,MEDIUM,0.0,0.09090909090909091
Document management system for construction projects,Construction,simple,50,english,Système,LOW,0.0,0.16666666666666666
Création d'une système de gestion documentaire pour projets btp avec BIM,Construction,moyen,80,french,Système,MEDIUM,0.0,0.09090909090909091
Développement d'un construction site management application with gps tracking,Construction,simple,32,english,Application Web,LOW,0.0,0.1111111111111111
Création d'une plateforme de coordination des corps de métiers,Construction,simple,49,french,SaaS,MEDIUM,0.0,0.0
Mise en place d'un construction safety application with real-time alerts,Construction,simple,45,english,Application Web,HIGH,0.0,0.0
Développement d'un application de gestion de chantier avec suivi géolocalisé avec project-management intégrant des APIs externes,Construction,moyen,67,french,API REST,HIGH,0.0,0.0625
Implémentation d'une construction safety application with real-time alerts sécurisé et scalable,Construction,moyen,79,english,Application Web,HIGH,0.0,0.0
Développement d'un système de gestion documentaire pour projets btp avec analytics avancés,Construction,simple,24,french,Système,HIGH,0.0,0.08333333333333333
Construction safety application with real-time alerts,Construction,simple,34,english,Application Web,HIGH,0.0,0.0
Développement d'un système bim de modélisation 3d collaborative,Construction,simple,32,french,Système,HIGH,0.0,0.0
Implémentation d'une resource management and scheduling platform,Construction,simple,28,english,Application Web,MEDIUM,0.0,0.14285714285714285
Application de gestion de chantier avec suivi géolocalisé,Construction,simple,44,french,Application Web,HIGH,0.0,0.125
Mise en place d'un resource management and scheduling platform,Construction,simple,43,english,Application Web,LOW,0.0,0.1111111111111111
Développement d'un plateforme de gestion des ressources et planning avec safety-compliance,Construction,simple,42,french,SaaS,HIGH,0.0,0.09090909090909091
Création d'une construction site management application with gps tracking,Construction,simple,26,english,Application Web,LOW,0.0,0.1111111111111111
Système BIM de modélisation 3D collaborative avec interface utilisateur moderne,Construction,simple,48,french,Système,HIGH,0.0,0.1
Création d'une resource management and scheduling platform avec BIM,Construction,simple,29,english,Application Web,LOW,0.0,0.1111111111111111
Développement d'un système bim de modélisation 3d collaborative,Construction,simple,35,french,Système,MEDIUM,0.0,0.0
Resource management and scheduling platform,Construction,simple,27,english,Application Web,MEDIUM,0.0,0.2
Mise en place d'un système de gestion documentaire pour projets btp sécurisé et scalable,Construction,moyen,73,french,Système,LOW,0.0,0.07142857142857142
Création d'une construction site management application with gps tracking avec project-management,Construction,simple,26,english,Application Web,HIGH,0.0,0.09090909090909091
Mise en place d'un système de gestion documentaire pour projets btp avec safety-compliance,Construction,moyen,80,french,Système,HIGH,0.0,0.07692307692307693
Trade coordination platform for construction professionals avec safety-compliance avec analytics avancés,Construction,simple,39,english,Application Web,HIGH,0.0,0.0
Développement d'un système de gestion documentaire pour projets btp,Construction,simple,38,french,Système,LOW,0.0,0.1111111111111111
Implémentation d'une document management system for construction projects,Construction,simple,31,english,Système,HIGH,0.0,0.125
Application de gestion de chantier avec suivi géolocalisé,Construction,simple,29,french,Application Web,LOW,0.0,0.125
Développement d'un document management system for construction projects avec 3D-modeling multi-plateforme,Construction,simple,45,english,SaaS,MEDIUM,0.0,0.09090909090909091
Implémentation d'une système de gestion documentaire pour projets btp,Construction,simple,33,french,Système,LOW,0.0,0.1111111111111111
Mise en place d'un construction safety application with real-time alerts avec resource-optimization sécurisé et scalable,Construction,moyen,55,english,Application Web,HIGH,0.0,0.0
Développement d'un plateforme de coordination des corps de métiers,Construction,simple,29,french,SaaS,LOW,0.0,0.0
Construction site management application with GPS tracking avec GPS-tracking,Construction,simple,20,english,Application Web,HIGH,0.0,0.1111111111111111
Création d'une système bim de modélisation 3d collaborative avec resource-optimization,Construction,moyen,50,french,Système,MEDIUM,0.0,0.0
Création d'une document management system for construction projects,Construction,simple,26,english,Système,LOW,0.0,0.125
Implémentation d'une application de gestion de chantier avec suivi géolocalisé avec analytics avancés,Construction,simple,44,french,Application Web,MEDIUM,0.0,0.07692307692307693
Développement d'un construction site management application with gps tracking avec interface utilisateur moderne,Construction,simple,49,english,Application Web,HIGH,0.0,0.15384615384615385
Application de gestion de chantier avec suivi géolocalisé avec project-management avec analytics avancés,Construction,simple,40,french,Application Web,LOW,0.0,0.07692307692307693
Implémentation d'une trade coordination platform for construction professionals avec interface utilisateur moderne,Construction,simple,31,english,Application Web,MEDIUM,0.0,0.08333333333333333
Implémentation d'une plateforme de gestion des ressources et planning,Construction,simple,34,french,SaaS,HIGH,0.0,0.1111111111111111
Mise en place d'un construction site management application with gps tracking avec authentification SSO,Construction,simple,44,english,Application Web,MEDIUM,0.0,0.07142857142857142
Mise en place d'un système de gestion documentaire pour projets btp,Construction,simple,26,french,Système,LOW,0.0,0.09090909090909091
Mise en place d'un construction safety application with real-time alerts,Construction,simple,29,english,Application Web,HIGH,0.0,0.0
Implémentation d'une application de sécurité chantier avec alertes temps réel avec project-management,Construction,simple,40,french,Application Web,HIGH,0.0,0.0
Mise en place d'un trade coordination platform for construction professionals,Construction,simple,32,english,Application Web,HIGH,0.0,0.0
Mise en place d'un application de sécurité chantier avec alertes temps réel,Construction,simple,27,french,Application Web,HIGH,0.0,0.0
Construction site management application with GPS tracking,Construction,simple,24,english,Application Web,LOW,0.0,0.14285714285714285
Mise en place d'un plateforme de coordination des corps de métiers avec BIM,Construction,simple,50,french,SaaS,MEDIUM,0.0,0.0
Développement d'un bim 3d collaborative modeling system for construction,Construction,simple,23,english,Système,HIGH,0.0,0.0
Développement d'un plateforme de coordination des corps de métiers sécurisé et scalable,Construction,simple,22,french,SaaS,LOW,0.0,0.0
Développement d'un construction site management application with gps tracking,Construction,simple,45,english,Application Web,MEDIUM,0.0,0.1111111111111111
Mise en place d'un système bim de modélisation 3d collaborative avec interface utilisateur moderne,Construction,simple,20,french,Système,LOW,0.0,0.07142857142857142
Construction safety application with real-time alerts avec 3D-modeling,Construction,moyen,71,english,Application Web,HIGH,0.0,0.0
Développement d'un application de sécurité chantier avec alertes temps réel avec project-management,Construction,simple,27,french,Application Web,HIGH,0.0,0.0
Mise en place d'un resource management and scheduling platform avec BIM avec authentification SSO,Construction,simple,26,english,Application Web,MEDIUM,0.0,0.07142857142857142
Développement d'un plateforme de gestion des ressources et planning,Construction,simple,46,french,SaaS,LOW,0.0,0.1111111111111111
Mise en place d'un construction safety application with real-time alerts avec 3D-modeling,Construction,moyen,55,english,Application Web,HIGH,0.0,0.0
Implémentation d'une système de gestion documentaire pour projets btp,Construction,simple,40,french,Système,HIGH,0.0,0.1111111111111111
Développement d'un trade coordination platform for construction professionals,Construction,simple,34,english,Application Web,HIGH,0.0,0.0
Création d'une plateforme de gestion des ressources et planning avec resource-optimization avec analytics avancés,Construction,simple,47,french,SaaS,MEDIUM,0.0,0.07142857142857142
Développement d'un resource management and scheduling platform avec BIM intégrant des APIs externes,Construction,simple,29,english,API REST,MEDIUM,0.0,0.07692307692307693
Création d'une plateforme de gestion des ressources et planning,Construction,simple,42,french,SaaS,LOW,0.0,0.1111111111111111
BIM 3D collaborative modeling system for construction intégrant des APIs externes,Construction,simple,41,english,API REST,MEDIUM,0.0,0.0
Création d'une système bim de modélisation 3d collaborative,Construction,simple,30,french,Système,HIGH,0.0,0.0
Développement d'un bim 3d collaborative modeling system for construction,Construction,simple,47,english,Système,LOW,0.0,0.0
Mise en place d'un système bim de modélisation 3d collaborative,Construction,simple,48,french,Système,MEDIUM,0.0,0.0
Implémentation d'une construction site management application with gps tracking,Construction,simple,35,english,Application Web,LOW,0.0,0.1111111111111111
Implémentation d'une système bim de modélisation 3d collaborative,Construction,simple,44,french,Système,MEDIUM,0.0,0.0
Création d'une document management system for construction projects,Construction,simple,22,english,Système,LOW,0.0,0.125
Implémentation d'une plateforme de coordination des corps de métiers avec analytics avancés,Construction,simple,35,french,SaaS,LOW,0.0,0.0
Développement d'un document management system for construction projects,Construction,simple,25,english,Système,HIGH,0.0,0.125
Plateforme de coordination des corps de métiers,Construction,simple,45,french,SaaS,LOW,0.0,0.0
Mise en place d'un construction safety application with real-time alerts avec GPS-tracking,Construction,moyen,72,english,Application Web,HIGH,0.0,0.0
Création d'une plateforme de coordination des corps de métiers,Construction,simple,20,french,SaaS,HIGH,0.0,0.0
Développement d'un bim 3d collaborative modeling system for construction avec authentification SSO,Construction,simple,28,english,Système,HIGH,0.0,0.0
Implémentation d'une système de gestion documentaire pour projets btp,Construction,simple,43,french,Système,MEDIUM,0.0,0.1111111111111111
Développement d'un construction safety application with real-time alerts avec 3D-modeling,Construction,moyen,72,english,Application Web,HIGH,0.0,0.0
Système de gestion documentaire pour projets BTP,Construction,simple,45,french,Système,HIGH,0.0,0.14285714285714285
Développement d'un construction safety application with real-time alerts,Construction,simple,42,english,Application Web,HIGH,0.0,0.0
Mise en place d'un plateforme de coordination des corps de métiers avec haute performance,Construction,simple,22,french,SaaS,LOW,0.0,0.0
Resource management and scheduling platform avec safety-compliance,Construction,simple,39,english,Application Web,HIGH,0.0,0.14285714285714285
Création d'une application de gestion de chantier avec suivi géolocalisé avec project-management,Construction,simple,20,french,Application Web,MEDIUM,0.0,0.08333333333333333
Création d'une bim 3d collaborative modeling system for construction avec safety-compliance,Construction,moyen,56,english,Système,HIGH,0.0,0.0
Implémentation d'une système bim de modélisation 3d collaborative avec resource-optimization,Construction,moyen,73,french,Système,MEDIUM,0.0,0.0
Création d'une construction safety application with real-time alerts avec 3D-modeling,Construction,moyen,64,english,Application Web,HIGH,0.0,0.0
Mise en place d'un application de sécurité chantier avec alertes temps réel multi-plateforme,Construction,simple,35,french,SaaS,HIGH,0.0,0.0
Création d'une document management system for construction projects,Construction,simple,39,english,Système,MEDIUM,0.0,0.125
Création d'une plateforme de coordination des corps de métiers,Construction,simple,38,french,SaaS,MEDIUM,0.0,0.0
Création d'une resource management and scheduling platform,Construction,simple,20,english,Application Web,LOW,0.0,0.14285714285714285
Mise en place d'un plateforme de gestion des ressources et planning,Construction,simple,25,french,SaaS,LOW,0.0,0.09090909090909091
Création d'une resource management and scheduling platform,Construction,simple,47,english,Application Web,LOW,0.0,0.14285714285714285
Implémentation d'une plateforme de coordination des corps de métiers,Construction,simple,36,french,SaaS,MEDIUM,0.0,0.0
Implémentation d'une construction site management application with gps tracking,Construction,simple,42,english,Application Web,HIGH,0.0,0.1111111111111111
Implémentation d'une application de sécurité chantier avec alertes temps réel avec 3D-modeling,Construction,simple,22,french,Application Web,HIGH,0.0,0.0
Construction site management application with GPS tracking,Construction,simple,41,english,Application Web,MEDIUM,0.0,0.14285714285714285
Implémentation d'une application de sécurité chantier avec alertes temps réel avec safety-compliance,Construction,simple,30,french,Application Web,HIGH,0.0,0.0
Document management system for construction projects,Construction,simple,31,english,Système,HIGH,0.0,0.16666666666666666
Mise en place d'un application de sécurité chantier avec alertes temps réel avec 3D-modeling multi-plateforme,Construction,simple,27,french,SaaS,HIGH,0.0,0.0
Implémentation d'une document management system for construction projects,Construction,simple,23,english,Système,MEDIUM,0.0,0.125
Création d'une plateforme de gestion des ressources et planning,Construction,simple,20,french,SaaS,HIGH,0.0,0.1111111111111111
Développement d'un bim 3d collaborative modeling system for construction avec resource-optimization,Construction,moyen,57,english,Système,HIGH,0.0,0.0
Développement d'un application de sécurité chantier avec alertes temps réel avec project-management,Construction,simple,21,french,Application Web,HIGH,0.0,0.0
Développement d'un document management system for construction projects avec BIM sécurisé et scalable,Construction,moyen,59,english,Système,HIGH,0.0,0.07692307692307693
Mise en place d'un plateforme de coordination des corps de métiers avec authentification SSO,Construction,simple,31,french,SaaS,LOW,0.0,0.0
Implémentation d'une bim 3d collaborative modeling system for construction,Construction,simple,44,english,Système,MEDIUM,0.0,0.0
Création d'une application de gestion de chantier avec suivi géolocalisé,Construction,simple,37,french,Application Web,LOW,0.0,0.1
Développement d'un resource management and scheduling platform sécurisé et scalable,Construction,simple,21,english,Application Web,HIGH,0.0,0.1
Développement d'un plateforme de gestion des ressources et planning,Construction,simple,39,french,SaaS,HIGH,0.0,0.1111111111111111
Développement d'un construction site management application with gps tracking avec interface utilisateur moderne,Construction,simple,37,english,Application Web,LOW,0.0,0.15384615384615385
Mise en place d'un application de sécurité chantier avec alertes temps réel,Construction,simple,42,french,Application Web,HIGH,0.0,0.0
Resource management and scheduling platform,Construction,simple,30,english,Application Web,HIGH,0.0,0.2
Implémentation d'une système bim de modélisation 3d collaborative avec safety-compliance avec authentification SSO,Construction,moyen,63,french,Système,HIGH,0.0,0.0
Développement d'un bim 3d collaborative modeling system for construction avec 3D-modeling multi-plateforme,Construction,moyen,79,english,SaaS,HIGH,0.0,0.0
Plateforme de coordination des corps de métiers avec safety-compliance,Construction,simple,31,french,SaaS,HIGH,0.0,0.0
Création d'une bim 3d collaborative modeling system for construction,Construction,simple,32,english,Système,LOW,0.0,0.0
Application de gestion de chantier avec suivi géolocalisé avec resource-optimization,Construction,simple,35,french,Application Web,HIGH,0.0,0.1
Développement d'un construction site management application with gps tracking,Construction,simple,27,english,Application Web,HIGH,0.0,0.1111111111111111
Mise en place d'un application de gestion de chantier avec suivi géolocalisé avec interface utilisateur moderne,Construction,simple,34,french,Application Web,LOW,0.0,0.125
Développement d'un document management system for construction projects,Construction,simple,49,english,Système,LOW,0.0,0.125
Création d'une application de gestion de chantier avec suivi géolocalisé avec GPS-tracking avec analytics avancés,Construction,simple,32,french,Application Web,LOW,0.0,0.06666666666666667
Développement d'un document management system for construction projects avec BIM,Construction,simple,33,english,Système,MEDIUM,0.0,0.1
Création d'une système de gestion documentaire pour projets btp avec project-management,Construction,moyen,57,french,Système,LOW,0.0,0.09090909090909091
Construction safety application with real-time alerts,Construction,simple,35,english,Application Web,HIGH,0.0,0.0
Implémentation d'une plateforme de coordination des corps de métiers,Construction,simple,46,french,SaaS,MEDIUM,0.0,0.0
Création d'une resource management and scheduling platform avec resource-optimization,Construction,simple,21,english,Application Web,MEDIUM,0.0,0.1111111111111111
Développement d'un système de gestion documentaire pour projets btp,Construction,simple,23,french,Système,MEDIUM,0.0,0.1111111111111111
Construction site management application with GPS tracking avec haute performance,Construction,simple,42,english,Application Web,MEDIUM,0.0,0.1
Mise en place d'un application de sécurité chantier avec alertes temps réel avec project-management avec haute performance,Construction,moyen,66,french,Application Web,HIGH,0.0,0.0
Resource management and scheduling platform,Construction,simple,23,english,Application Web,HIGH,0.0,0.2
Création d'une application de gestion de chantier avec suivi géolocalisé,Construction,simple,37,french,Application Web,HIGH,0.0,0.1
Implémentation d'une document management system for construction projects avec BIM avec haute performance,Construction,simple,25,english,Système,MEDIUM,0.0,0.07692307692307693
Mise en place d'un application de sécurité chantier avec alertes temps réel,Construction,simple,37,french,Application Web,HIGH,0.0,0.0
Construction site management application with GPS tracking,Construction,simple,41,english,Application Web,LOW,0.0,0.14285714285714285
Développement d'un système de gestion documentaire pour projets btp avec authentification SSO,Construction,simple,48,french,Système,MEDIUM,0.0,0.08333333333333333
Création d'une construction safety application with real-time alerts,Construction,simple,41,english,Application Web,HIGH,0.0,0.0
Implémentation d'une système bim de modélisation 3d collaborative,Construction,simple,39,french,Système,MEDIUM,0.0,0.0
Construction safety application with real-time alerts intégrant des APIs externes,Construction,simple,55,english,API REST,HIGH,0.0,0.0
Mise en place d'un application de gestion de chantier avec suivi géolocalisé,Construction,simple,38,french,Application Web,LOW,0.0,0.08333333333333333
Création d'une resource management and scheduling platform avec 3D-modeling,Construction,simple,36,english,Application Web,HIGH,0.0,0.1111111111111111
Développement d'un système bim de modélisation 3d collaborative,Construction,simple,32,french,Système,MEDIUM,0.0,0.0
Implémentation d'une construction safety application with real-time alerts,Construction,simple,37,english,Application Web,HIGH,0.0,0.0
Implémentation d'une application de sécurité chantier avec alertes temps réel,Construction,simple,46,french,Application Web,HIGH,0.0,0.0
Implémentation d'une construction safety application with real-time alerts multi-plateforme,Construction,simple,33,english,SaaS,HIGH,0.0,0.0
Implémentation d'une plateforme de gestion des ressources et planning avec resource-optimization,Construction,simple,39,french,SaaS,HIGH,0.0,0.09090909090909091
Création d'une trade coordination platform for construction professionals avec project-management,Construction,simple,23,english,Application Web,LOW,0.0,0.0
Développement d'un application de gestion de chantier avec suivi géolocalisé,Construction,simple,38,french,Application Web,LOW,0.0,0.1
Resource management and scheduling platform avec resource-optimization avec analytics avancés,Construction,simple,22,english,Application Web,MEDIUM,0.0,0.1
Plateforme de coordination des corps de métiers avec 3D-modeling,Construction,simple,34,french,SaaS,LOW,0.0,0.0
Mise en place d'un document management system for construction projects avec interface utilisateur moderne,Construction,simple,22,english,Système,MEDIUM,0.0,0.14285714285714285
Implémentation d'une système bim de modélisation 3d collaborative,Construction,simple,39,french,Système,MEDIUM,0.0,0.0
Mise en place d'un bim 3d collaborative modeling system for construction avec haute performance,Construction,simple,40,english,Système,LOW,0.0,0.0
Implémentation d'une application de sécurité chantier avec alertes temps réel,Construction,simple,33,french,Application Web,HIGH,0.0,0.0
Mise en place d'un trade coordination platform for construction professionals,Construction,simple,42,english,Application Web,LOW,0.0,0.0
Mise en place d'un système de gestion documentaire pour projets btp,Construction,simple,33,french,Système,HIGH,0.0,0.09090909090909091
Développement d'un document management system for construction projects avec haute performance,Construction,simple,34,english,Système,MEDIUM,0.0,0.09090909090909091
Développement d'un système bim de modélisation 3d collaborative avec GPS-tracking,Construction,moyen,73,french,Système,HIGH,0.0,0.0
Mise en place d'un document management system for construction projects,Construction,simple,45,english,Système,LOW,0.0,0.1
Implémentation d'une plateforme de coordination des corps de métiers avec project-management,Construction,simple,37,french,SaaS,MEDIUM,0.0,0.0
Mise en place d'un resource management and scheduling platform,Construction,simple,41,english,Application Web,LOW,0.0,0.1111111111111111
Mise en place d'un application de gestion de chantier avec suivi géolocalisé,Construction,simple,49,french,Application Web,LOW,0.0,0.08333333333333333
Création d'une construction site management application with gps tracking avec GPS-tracking,Construction,simple,24,english,Application Web,LOW,0.0,0.09090909090909091
Implémentation d'une application de gestion de chantier avec suivi géolocalisé,Construction,simple,28,french,Application Web,LOW,0.0,0.1
Implémentation d'une resource management and scheduling platform,Construction,simple,29,english,Application Web,HIGH,0.0,0.14285714285714285
Développement d'un plateforme de gestion des ressources et planning avec GPS-tracking,Construction,simple,39,french,SaaS,LOW,0.0,0.09090909090909091
Création d'une trade coordination platform for construction professionals,Construction,simple,24,english,Application Web,HIGH,0.0,0.0
Implémentation d'une application de transport public avec horaires prédictifs,Transportation,simple,29,french,Application Web,LOW,0.0,0.0
Public transport application with predictive scheduling,Transportation,simple,26,english,Application Web,MEDIUM,0.0,0.0
Implémentation d'une application de gestion de flotte avec optimisation des tournées avec haute performance,Transportation,simple,32,french,Application Web,MEDIUM,0.0,0.07142857142857142
Création d'une public transport application with predictive scheduling,Transportation,simple,39,english,Application Web,MEDIUM,0.0,0.0
Application de transport public avec horaires prédictifs avec predictive-algorithms,Transportation,moyen,56,french,Application Web,HIGH,0.0,0.0
Implémentation d'une autonomous delivery platform using drone technology avec fleet-management sécurisé et scalable,Transportation,moyen,57,english,Application Web,MEDIUM,0.0,0.0
Système de suivi logistique en temps réel avec IoT,Transportation,simple,30,french,Système,MEDIUM,0.0,0.0
Création d'une real-time logistics tracking system with iot integration,Transportation,simple,31,english,Système,HIGH,0.0,0.0
Mise en place d'un plateforme de covoiturage avec algorithme de matching avec autonomous-vehicles,Transportation,simple,23,french,SaaS,MEDIUM,0.0,0.0
Implémentation d'une traffic management system with predictive ai algorithms avec autonomous-vehicles,Transportation,moyen,70,english,Système,HIGH,0.0,0.09090909090909091
Mise en place d'un système de suivi logistique en temps réel avec iot,Transportation,simple,27,french,Système,MEDIUM,0.0,0.0
Mise en place d'un ridesharing platform with intelligent matching algorithms,Transportation,simple,30,english,Application Web,LOW,0.0,0.0
Mise en place d'un plateforme de covoiturage avec algorithme de matching,Transportation,simple,38,french,SaaS,HIGH,0.0,0.0
